comp_name,tittle_job,tittle_url
Ngân Hàng TMCP Đại Chúng Việt Nam,"Chuyên Gia Quản Lý Rủi Ro An Ninh Thông Tin, Phòng Quản Trị Rủi Ro Hoạt Động, Khối Quản Trị Rủi Ro(MỚI)",https://www.vietnamworks.com/chuyen-gia-quan-ly-rui-ro-an-ninh-thong-tin-phong-quan-tri-rui-ro-hoat-dong-khoi-quan-tri-rui-ro-2-1-1-1644841-jv/?source=searchResults&searchType=2&placement=1644892&sortBy=date
Công Ty Cổ Phần Đầu Tư Và Du Lịch Vạn Hương - Khu Du Lịch Quốc Tế Đồi Rồng,Nữ Nhân Viên Lễ Tân Sân Golf Hoặc Khách Sạn (Công Ty Có Xe Đưa Đón Từ Hải Phòng Xuống Dự Án)(MỚI),https://www.vietnamworks.com/nu-nhan-vien-le-tan-san-golf-hoac-khach-san-cong-ty-co-xe-dua-don-tu-hai-phong-xuong-du-an-1632276-jv/?source=searchResults&searchType=2&placement=1632327&sortBy=date
Ngân Hàng TMCP Đại Chúng Việt Nam,Chủ Nhiệm Kiểm Toán Cao Cấp Công Nghệ Thông Tin(MỚI),https://www.vietnamworks.com/chu-nhiem-kiem-toan-cao-cap-cong-nghe-thong-tin-1-1-1644850-jv/?source=searchResults&searchType=2&placement=1644901&sortBy=date
Daikin Air Conditioning (Vietnam) Joint Stock Company,QC - Quality Control Planning Staff (Market Monitoring)(MỚI),https://www.vietnamworks.com/qc-quality-control-planning-staff-market-monitoring-1639262-jv/?source=searchResults&searchType=2&placement=1639313&sortBy=date
Công Ty TNHH Ô Tô Mitsubishi Việt Nam,Call Center Staff (Inbound)(MỚI),https://www.vietnamworks.com/call-center-staff-inbound-1643318-jv/?source=searchResults&searchType=2&placement=1643369&sortBy=date
Công Ty TNHH Kurita - GK Việt Nam - Chi Nhánh TP. Hồ Chí Minh,Nhân Viên Kỹ Thuật(MỚI),https://www.vietnamworks.com/nhan-vien-ky-thuat-1611-1642795-jv/?source=searchResults&searchType=2&placement=1642846&sortBy=date
"SEI Electronic Components (Vietnam), Ltd.",(Upto $800) Nhân Viên Phòng Kế Hoạch Sản Xuất(MỚI),https://www.vietnamworks.com/upto-800-nhan-vien-phong-ke-hoach-san-xuat-1641894-jv/?source=searchResults&searchType=2&placement=1641945&sortBy=date
"Fubon Life Insurance (Vietnam) Co., Ltd",AD – Application Developer (Chuyên Viên Phát Triển Phần Mềm)(MỚI),https://www.vietnamworks.com/ad-application-developer-chuyen-vien-phat-trien-phan-mem-1642419-jv/?source=searchResults&searchType=2&placement=1642470&sortBy=date
"Fubon Life Insurance (Vietnam) Co., Ltd",Nhân Viên Kế Toán_Mảng Báo Cáo & IFRS(MỚI),https://www.vietnamworks.com/nhan-vien-ke-toan-mang-bao-cao-ifrs-1642420-jv/?source=searchResults&searchType=2&placement=1642471&sortBy=date
Công Ty TNHH Vật Liệu Nam Châm Shin-Etsu Việt Nam,Kỹ Sư Cơ Điện - Mechantronic Engineer(MỚI),https://www.vietnamworks.com/ky-su-co-dien-mechantronic-engineer-1629733-jv/?source=searchResults&searchType=2&placement=1629784&sortBy=date
Công Ty Cổ Phần Chứng Khoán KIS Việt Nam,Chuyên Viên Phân Tích(MỚI),https://www.vietnamworks.com/chuyen-vien-phan-tich-35-1-1-1-1-1644810-jv/?source=searchResults&searchType=2&placement=1644911&sortBy=date
Nest By AIA - Văn Phòng Lotte Center,"Chuyên Viên Quan Hệ Khách Hàng (Lương Cứng 16,8 Triệu – 25 Triệu + Doanh Số)(MỚI)",https://www.vietnamworks.com/chuyen-vien-quan-he-khach-hang-luong-cung-16-8-trieu-25-trieu-doanh-so-1-1644842-jv/?source=searchResults&searchType=2&placement=1644943&sortBy=date
Ngân Hàng TMCP Đại Chúng Việt Nam,Chuyên Gia Truyền Thông - Hà Nội ( Ưu Tiên Tiếng Anh)(MỚI),https://www.vietnamworks.com/chuyen-gia-truyen-thong-ha-noi-uu-tien-tieng-anh-1-1644851-jv/?source=searchResults&searchType=2&placement=1644952&sortBy=date
Vietsin Commercial Complex Development JSC,IT Executive(MỚI),https://www.vietnamworks.com/it-executive-81-1644288-jv/?source=searchResults&searchType=2&placement=1644389&sortBy=date
One Mount,(Senior) Business Planning & Performance Management Specialist(MỚI),https://www.vietnamworks.com/senior-business-planning-performance-management-specialist-1646728-jv/?source=searchResults&searchType=2&placement=1646829&sortBy=date
